compound,conc_M,real_effect,vehicle,effect_floor,delta,class,class_raw,class_absolute_floor,q_value,necessary_level,necessary_level_verdict,non_monotone,p_sign,p_sign_wm,p_weight,p_degree,p_ER,q_weight,q_degree,verdict_weight,verdict_degree
dieldrin,1e-05,5.944493581459351,14.345707408485804,0.14345707408485806,0.7172853704242903,topology-dependent,topology-dependent,topology-dependent,0.006489994591671174,wiring_with_weighted_transmitter_balance,equivalent_within_tolerance,False,0.4950166112956811,0.8006644518272426,0.0033222591362126247,0.0033222591362126247,0.0033222591362126247,0.006489994591671174,0.006489994591671174,distinguishable,distinguishable
fipronil,1e-08,0.8698058843710257,14.345707408485804,0.14345707408485806,0.7172853704242903,topology-dependent,topology-dependent,topology-dependent,0.006489994591671174,wiring_with_weighted_transmitter_balance,equivalent_within_tolerance,False,0.3289036544850498,0.6312292358803987,0.0033222591362126247,0.0033222591362126247,0.0033222591362126247,0.006489994591671174,0.006489994591671174,distinguishable,distinguishable
fipronil,1e-07,4.574334628338235,14.345707408485804,0.14345707408485806,0.7172853704242903,topology-dependent,topology-dependent,topology-dependent,0.006489994591671174,wiring_with_weighted_transmitter_balance,equivalent_within_tolerance,False,0.46511627906976744,0.7873754152823921,0.0033222591362126247,0.0033222591362126247,0.0033222591362126247,0.006489994591671174,0.006489994591671174,distinguishable,distinguishable
fipronil,1e-06,5.944493581459351,14.345707408485804,0.14345707408485806,0.7172853704242903,topology-dependent,topology-dependent,topology-dependent,0.006489994591671174,wiring_with_weighted_transmitter_balance,equivalent_within_tolerance,False,0.4950166112956811,0.8006644518272426,0.0033222591362126247,0.0033222591362126247,0.0033222591362126247,0.006489994591671174,0.006489994591671174,distinguishable,distinguishable
fipronil,1e-05,5.944493581459351,14.345707408485804,0.14345707408485806,0.7172853704242903,topology-dependent,topology-dependent,topology-dependent,0.006489994591671174,wiring_with_weighted_transmitter_balance,equivalent_within_tolerance,False,0.4950166112956811,0.8006644518272426,0.0033222591362126247,0.0033222591362126247,0.0033222591362126247,0.006489994591671174,0.006489994591671174,distinguishable,distinguishable
gaba,1e-08,-4.269749503293951e-06,14.345707408485804,0.14345707408485806,0.7172853704242903,no-effect,no-effect,topology-dependent,0.006489994591671174,none_required,,False,0.27906976744186046,0.5980066445182725,0.0033222591362126247,0.0033222591362126247,0.0033222591362126247,0.006489994591671174,0.006489994591671174,distinguishable,distinguishable
gaba,1e-07,-0.00013500781989073118,14.345707408485804,0.14345707408485806,0.7172853704242903,no-effect,no-effect,topology-dependent,0.006489994591671174,none_required,,False,0.27906976744186046,0.5980066445182725,0.0033222591362126247,0.0033222591362126247,0.0033222591362126247,0.006489994591671174,0.006489994591671174,distinguishable,distinguishable
gaba,1e-06,-0.004255851246456999,14.345707408485804,0.14345707408485806,0.7172853704242903,no-effect,no-effect,topology-dependent,0.006489994591671174,none_required,,False,0.2823920265780731,0.5980066445182725,0.0033222591362126247,0.0033222591362126247,0.0033222591362126247,0.006489994591671174,0.006489994591671174,distinguishable,distinguishable
gaba,1e-05,-0.12229139007903278,14.345707408485804,0.14345707408485806,0.7172853704242903,no-effect,no-effect,topology-dependent,0.006489994591671174,none_required,,False,0.2857142857142857,0.5913621262458472,0.0033222591362126247,0.0033222591362126247,0.0033222591362126247,0.006489994591671174,0.006489994591671174,distinguishable,distinguishable
imidacloprid,1e-08,-0.45812824345463277,14.345707408485804,0.14345707408485806,0.7172853704242903,topology-dependent,topology-dependent,topology-dependent,0.006489994591671174,topology_without_weight_pairing,equivalent_within_tolerance,False,0.8737541528239202,0.7009966777408638,0.26578073089701,0.0033222591362126247,0.0033222591362126247,0.35968992248062015,0.006489994591671174,equivalent_within_tolerance,distinguishable
