compound,conc_M,real_effect,class,necessary_level,p_sign,p_weight,p_degree,p_ER
imidacloprid,1e-07,-5.680388639120631,composition-dominated,degree_sequence,0.26732673267326734,0.5544554455445545,0.42574257425742573,0.009900990099009901
imidacloprid,1e-06,-6.17278216613422,composition-dominated,degree_sequence,0.26732673267326734,0.5841584158415841,0.38613861386138615,0.009900990099009901
imidacloprid,1e-05,-6.17278216613422,composition-dominated,degree_sequence,0.26732673267326734,0.5841584158415841,0.38613861386138615,0.009900990099009901
ivermectin,1e-08,-0.015564152084219351,topology-dependent,degree_sequence,0.8217821782178217,0.009900990099009901,0.5148514851485149,0.009900990099009901
ivermectin,1e-07,-0.0587293185688571,topology-dependent,degree_sequence,0.5247524752475248,0.009900990099009901,0.27722772277227725,0.009900990099009901
ivermectin,1e-06,-0.1835528137105662,topology-dependent,degree_sequence,0.1782178217821782,0.009900990099009901,0.0891089108910891,0.009900990099009901
ivermectin,1e-05,-0.29716171988116447,topology-dependent,degree_sequence,0.12871287128712872,0.009900990099009901,0.0594059405940594,0.009900990099009901
nicotine,1e-08,0.09320704732198237,composition-dominated,degree_sequence,0.48514851485148514,0.19801980198019803,0.9405940594059405,0.009900990099009901
nicotine,1e-07,-0.26018164807203803,composition-dominated,degree_sequence,0.43564356435643564,0.22772277227722773,0.9405940594059405,0.009900990099009901
nicotine,1e-06,-5.40399067063418,composition-dominated,degree_sequence,0.26732673267326734,0.5544554455445545,0.46534653465346537,0.009900990099009901
nicotine,1e-05,-6.17278216613422,composition-dominated,degree_sequence,0.26732673267326734,0.5841584158415841,0.38613861386138615,0.009900990099009901
nitenpyram,1e-08,0.19091781755964465,composition-dominated,degree_sequence,0.504950495049505,0.19801980198019803,0.9405940594059405,0.009900990099009901
nitenpyram,1e-07,-3.377888997795963,composition-dominated,degree_sequence,0.297029702970297,0.43564356435643564,0.7722772277227723,0.009900990099009901
nitenpyram,1e-06,-6.17278216613422,composition-dominated,degree_sequence,0.26732673267326734,0.5841584158415841,0.38613861386138615,0.009900990099009901
nitenpyram,1e-05,-6.17278216613422,composition-dominated,degree_sequence,0.26732673267326734,0.5841584158415841,0.38613861386138615,0.009900990099009901
permethrin,1e-08,0.5000584660495315,composition-dominated,degree_sequence,0.37623762376237624,0.5643564356435643,0.9702970297029703,0.009900990099009901
permethrin,1e-07,4.710059982330625,composition-dominated,degree_sequence,0.6039603960396039,0.5346534653465347,0.9108910891089109,0.009900990099009901
permethrin,1e-06,24.820376182767554,composition-dominated,degree_sequence,0.5742574257425742,0.13861386138613863,0.9207920792079208,0.009900990099009901
permethrin,1e-05,37.24852214329439,composition-dominated,degree_sequence,0.22772277227722773,0.1188118811881188,0.2871287128712871,0.009900990099009901
picrotoxin,1e-08,0.00760206859210566,topology-dependent,degree_sequence,0.0891089108910891,0.009900990099009901,0.0594059405940594,0.009900990099009901
picrotoxin,1e-07,0.07085762022170528,topology-dependent,wiring_without_transmitter_identity,0.0891089108910891,0.009900990099009901,0.04950495049504951,0.009900990099009901
picrotoxin,1e-06,0.4236252131450913,topology-dependent,wiring_without_transmitter_identity,0.1188118811881188,0.009900990099009901,0.04950495049504951,0.009900990099009901
picrotoxin,1e-05,0.8512734176258983,topology-dependent,wiring_without_transmitter_identity,0.13861386138613863,0.009900990099009901,0.039603960396039604,0.009900990099009901
spinosad,1e-08,0.006005747612804591,composition-dominated,degree_sequence,0.48514851485148514,0.2079207920792079,0.9405940594059405,0.009900990099009901
spinosad,1e-07,0.054912834542182765,composition-dominated,degree_sequence,0.48514851485148514,0.2079207920792079,0.9405940594059405,0.009900990099009901
spinosad,1e-06,0.16958996890116396,composition-dominated,degree_sequence,0.504950495049505,0.19801980198019803,0.9405940594059405,0.009900990099009901
spinosad,1e-05,-3.0409209448354613,composition-dominated,degree_sequence,0.297029702970297,0.40594059405940597,0.8118811881188119,0.009900990099009901
sulfoxaflor,1e-08,0.00020209322619546555,composition-dominated,degree_sequence,0.48514851485148514,0.2079207920792079,0.9405940594059405,0.009900990099009901
sulfoxaflor,1e-07,0.0020150179661975187,composition-dominated,degree_sequence,0.48514851485148514,0.2079207920792079,0.9405940594059405,0.009900990099009901
sulfoxaflor,1e-06,0.019564984263337415,composition-dominated,degree_sequence,0.48514851485148514,0.2079207920792079,0.9405940594059405,0.009900990099009901
sulfoxaflor,1e-05,0.14294144232433847,composition-dominated,degree_sequence,0.49504950495049505,0.19801980198019803,0.9405940594059405,0.009900990099009901
thiamethoxam,1e-08,0.00030309050857635356,composition-dominated,degree_sequence,0.48514851485148514,0.2079207920792079,0.9405940594059405,0.009900990099009901
thiamethoxam,1e-07,0.0030176057607382845,composition-dominated,degree_sequence,0.48514851485148514,0.2079207920792079,0.9405940594059405,0.009900990099009901
thiamethoxam,1e-06,0.028867082651210296,composition-dominated,degree_sequence,0.48514851485148514,0.2079207920792079,0.9405940594059405,0.009900990099009901
thiamethoxam,1e-05,0.1766469540699287,composition-dominated,degree_sequence,0.504950495049505,0.19801980198019803,0.9405940594059405,0.009900990099009901
