compound,class,conc_M,A_receptor_only,B_composition_only,C_topology_only,D_full_flylab,C_topology_only_floor,B_composition_only_alt_sign
acetylcholine,endogenous transmitter,1e-05,0.5,-4.348134991119007,-3.284963244755702,-1.4378006330560869,-3.284963244755702,-4.348134991119011
caffeine,methylxanthine,1e-05,0.0,0.0,0.0,0.0,0.0,0.0
chlordimeform,formamidine,1e-05,0.25,0.0,1.7339008885200506,0.0,-1.662233377362102,0.0
chlorpyrifos_oxon,organophosphate (oxon metabolite),1e-05,0.0,0.0,0.0,0.0,0.0,0.0
clothianidin,neonicotinoid,1e-05,0.9990621400136929,-10.80994671403197,-6.16942921588497,-6.17278216613422,-6.16942921588497,-9.417406749555951
ddt,organochlorine,1e-05,0.13333333333333336,2.161989342806395,0.9133684203732662,2.9816464493304498,-0.8931559375447362,1.8834813499111878
deltamethrin,type II pyrethroid,1e-05,0.9957184108334164,16.145494444934744,7.811271941754921,38.16064501855905,-6.16942921588497,14.065627924259609
diazepam,benzodiazepine,1e-05,0.0,0.0,0.0,0.0,0.0,0.0
dieldrin,cyclodiene organochlorine,1e-05,-0.99009900990099,10.951154529307281,7.7575015881129,0.8996076235547861,-6.16942921588497,10.951154529307281
fipronil,phenylpyrazole,1e-05,-0.9990621400136929,10.951154529307281,7.84334520573964,0.8996076235547861,-6.16942921588497,10.951154529307281
gaba,endogenous transmitter,1e-05,0.08209951522176571,-0.3785618854630606,-0.5519960219908775,-0.025019861031331914,-0.5519960219908775,-0.3785618854630606
imidacloprid,neonicotinoid,1e-05,2.999214992927742,-10.80994671403197,-6.16942921588497,-6.17278216613422,-6.16942921588497,-9.417406749555951
ivermectin,avermectin,1e-05,0.9980039920159681,0.47648929494474856,-6.16942921588497,-0.03733448908736925,-6.16942921588497,-0.6353190599263314
nicotine,alkaloid,1e-05,0.9866556142826448,-10.80994671403197,-6.16942921588497,-6.17278216613422,-6.16942921588497,-9.417406749555951
nitenpyram,neonicotinoid,1e-05,0.9982701355087407,-10.80994671403197,-6.16942921588497,-6.17278216613422,-6.16942921588497,-9.417406749555951
permethrin,type I pyrethroid,1e-05,0.9615384615384616,15.591269299084587,7.486717545963149,37.24852214329439,-6.16942921588497,13.582798196474936
picrotoxin,plant convulsant,1e-05,-0.9090909090909091,10.479573712255771,6.999949583094388,0.8512734176258983,-5.907823488940227,10.479573712255771
spinosad,spinosyn,1e-05,0.0,0.0,0.0,0.0,0.0,0.0
sulfoxaflor,sulfoximine,1e-05,0.0,0.0,0.0,0.0,0.0,0.0
thiamethoxam,neonicotinoid,1e-05,0.09090909090909091,0.5030899989724453,0.6202059367630355,0.1766469540699287,-0.6108266719415321,0.5030899989724418
